city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,55059000700,0.8899167012303933,63,174.0,0,0.8810135879392385,55,165.0,0,0.7656053296084216,23,35.0,0,0.8920665163323345,23,28.0,0
Chicago,17031836800,0.9256725835089803,167,213.0,0,0.9117864993767326,119,139.0,0,0.5596277188642501,9,9.0,0,0.6850972089384688,9,10.0,0
Chicago,17031560200,0.9870672419495843,62,69.0,0,0.7866477766038011,49,59.0,0,,0,0.0,0,0.700698027129531,8,8.0,0
Chicago,17031420300,0.9405165708391245,48,59.0,0,0.9553486362462708,119,168.0,0,0.5303560860446522,5,5.0,0,0.7332647354495562,10,10.0,0
Chicago,17031040700,0.9242254149873038,114,171.0,0,0.887213969009051,115,163.0,0,0.5802792108518124,4,4.0,0,0.6439156385193586,7,7.0,0
Chicago,17031805201,0.9138768708548973,76,106.0,0,0.9256941995246385,82,105.0,0,0.873457956570801,13,16.0,0,0.8465161500592464,21,27.0,0
Chicago,17031832300,0.9757900143329142,486,746.0,0,0.8771356628476196,104,139.0,0,0.38685280723454163,2,2.0,0,-0.0,1,1.0,0
Chicago,17031030800,0.9670762753617816,222,419.0,0,0.9541017082119496,220,457.0,0,0.8982444017039272,10,10.0,0,0.6902069671624539,11,12.0,0
Chicago,17197881005,0.7975445224397768,65,99.0,0,0.8462999195927136,98,159.0,0,0.7492996800436067,15,21.0,0,0.43906632080245095,14,18.0,0
Chicago,17105960200,0.9423051189734085,174,217.0,0,0.8615358798885999,36,48.0,0,-0.0,3,3.0,0,0.31384521989498937,4,4.0,0
Chicago,17141961100,0.9218038734668764,117,151.0,0,0.984413413692165,70,96.0,0,0.5303560860446522,5,5.0,0,0.7224994136085832,10,11.0,0
Chicago,17031826401,0.8650224352887167,94,136.0,0,0.9714539616943462,77,84.0,0,0.8981381540606909,16,21.0,0,0.8539202459723048,20,25.0,0
Chicago,17097864514,0.600677992703323,105,199.0,0,0.7368608567929191,67,96.0,0,0.5887621559162939,5,5.0,0,0.5333862650237753,6,7.0,0
Chicago,17097864408,0.7741170438496985,112,203.0,0,0.7567003395260858,71,105.0,0,0.523036640330667,11,13.0,0,0.4485770110998658,14,17.0,0
Chicago,18073101100,0.9631909426052935,162,217.0,0,0.8106019539414514,35,66.0,0,0.5303560860446522,4,5.0,0,-0.0,2,3.0,0
Chicago,17031730201,0.8245896930017703,117,172.0,0,0.9397283917292442,135,196.0,0,0.7346125063776183,35,38.0,0,0.8509553984313722,12,13.0,0
Chicago,17111871301,0.7732789004294027,141,391.0,0,0.8815247318650635,150,234.0,0,0.6521625395659393,10,11.0,0,0.5644754678724236,5,6.0,0
Chicago,17197883213,0.8084048328609275,93,199.0,0,0.914054520474092,228,420.0,0,0.7713417948483744,18,29.0,0,0.8143036188803989,16,28.0,0
Chicago,17043840904,0.8827906634340978,188,280.0,0,0.8924090398754724,91,141.0,0,-0.0,2,2.0,0,0.38685280723454163,2,2.0,0
Chicago,17031580800,0.7356030897821619,17,17.0,0,0.3756149631508355,5,5.0,0,,0,0.0,0,-0.0,1,1.0,0
Chicago,17111871104,0.784404850033623,115,266.0,0,0.8148995230157005,287,730.0,0,0.5739075396127332,23,69.0,0,0.6236669113666601,35,64.0,0
Chicago,17031803015,0.9141739012998912,33,42.0,0,0.8979714461699534,94,122.0,0,0.5746602888099593,10,10.0,0,0.8255197379070639,13,13.0,0
Chicago,17043845704,0.814802804328691,100,177.0,0,0.8533893632890234,124,190.0,0,0.771500350740458,16,18.0,0,0.5596277188642501,7,9.0,0
Chicago,18073101300,0.9724619557885829,166,217.0,0,0.8202577228123836,44,72.0,0,0.7052589667219773,7,11.0,0,0.5604783958455847,6,7.0,0
Chicago,17031826500,0.8537422349262294,106,155.0,0,0.8600020955927757,102,160.0,0,0.5739577127266061,15,17.0,0,0.6243825441970409,12,12.0,0
Chicago,17031700301,0.9271571524889984,122,164.0,0,0.9612060143164641,128,199.0,0,0.8988395490377868,26,28.0,0,0.9144678583505099,19,20.0,0
Chicago,17043845811,0.8933520636261478,80,126.0,0,0.8180587344918903,83,126.0,0,0.5738403379421786,11,12.0,0,0.5385560615583984,8,9.0,0
Chicago,17031819700,0.8745553877145577,80,129.0,0,0.8904843842255622,93,149.0,0,0.5248740161872846,7,10.0,0,0.7372018207993071,7,8.0,0
Chicago,17031815600,0.9288303505687635,242,458.0,0,0.9758164105532559,231,388.0,0,0.7224994136085832,10,11.0,0,0.8661327173632023,14,15.0,0
Chicago,17031838200,0.956758482615936,318,413.0,0,0.9330347567568186,98,128.0,0,0.7737056144690833,4,4.0,0,0.7435032788101106,5,5.0,0
Chicago,17031809500,0.9416361375505317,89,143.0,0,0.9880651917441375,115,182.0,0,0.7289519779393747,13,13.0,0,0.796457933048093,9,9.0,0
Chicago,17031063301,0.9708667585404835,170,262.0,0,0.8681856290885472,161,288.0,0,0.5802792108518124,4,4.0,0,0.355245321275764,6,6.0,0
