city,GEOID,lon,lat,Income,pct_black,pct_hispanic,pct_other_race,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors,Income_k,Income_k_sq
Chicago,17031300700,-87.712416,41.847794,27688,0.029387244685285537,0.9378907878282617,0.012922050854522717,0.9174106898760148,72,84.0,0,0.8705685792856531,81,107.0,0,0.8710490642551527,6,6.0,0,0.7435032788101106,5,5.0,0,27.688,766.6253439999999
Chicago,17031814900,-87.789999,41.853681,50172,0.17980783895073968,0.5967668140918103,0.043312490468201924,0.8297492154942322,71,136.0,0,0.9745549293585892,193,301.0,0,0.775023060628818,37,59.0,0,0.7645057170859058,35,57.0,0,50.172,2517.2295839999997
Chicago,17031840700,-87.694963,41.85253,29070,0.03717948717948718,0.8643589743589744,0.023076923076923078,0.8740559176535447,105,136.0,0,0.9606389310423202,163,222.0,0,0.5991556706386703,8,8.0,0,0.3834005559313648,9,9.0,0,29.07,845.0649
Chicago,17031813302,-87.746768,41.862636,41280,0.040694660445826855,0.9282011404872991,0.006480041472265423,0.8453936257522556,72,86.0,0,0.8863508802600263,148,216.0,0,0.5644754678724236,6,6.0,0,0.7420981285103057,6,6.0,0,41.28,1704.0384000000001
Chicago,17031310800,-87.668841,41.855899,37813,0.025389221556886228,0.7492215568862275,0.0562874251497006,0.8889178829794042,128,167.0,0,0.9779554763477026,181,296.0,0,0.8314454838586239,15,15.0,0,0.988762155916294,15,15.0,0,37.813,1429.8229690000003
Chicago,17031809400,-87.680077,42.046728,46451,0.04819473942166313,0.060120895278549254,0.2703806567554321,0.9672989709149228,310,600.0,0,0.96282402337075,160,296.0,0,0.6131471927654584,3,3.0,0,,0,0.0,0,46.451,2157.695401
Chicago,17031281900,-87.64298,41.880252,77069,0.045654956620679844,0.056606457118475326,0.43350874697767033,0.9762178599796462,836,1319.0,0,0.844778547347406,160,315.0,0,0.8339150226079424,8,8.0,0,0.5248740161872846,10,10.0,0,77.069,5939.630761
Chicago,17031838700,-87.71992,41.862586,17317,0.9027105517909003,0.0701839303000968,0.02105517909002904,0.7599825330252928,71,86.0,0,0.8300436843268097,122,151.0,0,0.5552774519452763,11,11.0,0,0.6769924126604479,8,8.0,0,17.317,299.878489
Chicago,17031063301,-87.643009,41.934278,40789,0.05965407695022944,0.07624426403106248,0.13872220261207202,0.9708667585404837,170,262.0,0,0.8681856290885472,161,288.0,0,0.5802792108518124,4,4.0,0,0.355245321275764,6,6.0,0,40.789,1663.7425210000001
Chicago,17031803607,-88.01422,42.117105,102388,0.011828180120356921,0.09628553641834406,0.1000207511931936,0.8715969297493885,36,57.0,0,0.8343440535216791,125,225.0,0,0.7884677944369964,11,13.0,0,0.784522413622003,16,21.0,0,102.388,10483.302544000002
Chicago,17031843000,-87.720696,41.867564,17690,0.9253472222222222,0.04861111111111111,0.02048611111111111,0.7435402195070324,127,159.0,0,0.8621074448967503,81,96.0,0,0.5802792108518124,4,4.0,0,0.6230563278509151,13,14.0,0,17.69,312.93610000000007
Chicago,17031320100,-87.619103,41.885393,104611,0.045764362220058426,0.07574071498122131,0.2750034775351231,0.992031947974546,1415,3489.0,0,0.9008404961355194,416,983.0,0,0.9732587579762908,61,61.0,0,0.9850711491336118,41,41.0,0,104.611,10943.461321
Chicago,17031610300,-87.670976,41.813354,35304,0.03974121996303143,0.8717190388170055,0.03937153419593346,0.8655125439893998,178,268.0,0,0.9703143981183322,92,99.0,0,-0.0,1,1.0,0,-0.0,1,1.0,0,35.304,1246.3724160000002
Chicago,17031291200,-87.712774,41.862185,21488,0.9295713035870516,0.049431321084864394,0.014435695538057743,0.7049398928816833,30,37.0,0,0.8012634448227381,126,151.0,0,0.3868528072345416,2,2.0,0,0.340929858357647,10,10.0,0,21.488,461.73414399999996
Chicago,17031190900,-87.744265,41.927855,38571,0.0425531914893617,0.8162947586922678,0.03736377789309808,0.8520713504430142,87,118.0,0,0.8792331045616417,88,97.0,0,0.8704188162777186,8,8.0,0,0.7544450120149419,7,7.0,0,38.571,1487.7220409999998
Chicago,17031826800,-87.670544,41.635343,36094,0.44038294168842473,0.40970409051349,0.030678851174934726,0.9219165351686968,199,281.0,0,0.9474940390555672,164,241.0,0,0.7477108766567818,16,17.0,0,0.7996369365439233,13,14.0,0,36.094,1302.776836
Chicago,17031460500,-87.57232,41.747034,37063,0.945925925925926,0.017962962962962962,0.02851851851851852,0.8023657886812275,106,157.0,0,0.8835434800772817,251,435.0,0,0.7024117592710178,55,58.0,0,0.8316297155713034,22,26.0,0,37.063,1373.6659690000001
Chicago,17031840800,-87.707824,41.841463,30039,0.0024009603841536613,0.9717887154861945,0.007503001200480192,0.7528843159999421,30,35.0,0,0.675894813145788,27,33.0,0,0.3868528072345416,2,2.0,0,0.3868528072345416,2,2.0,0,30.039,902.3415210000001
Chicago,17031841400,-87.714151,41.85318,22460,0.7634500426985482,0.17677198975234842,0.030742954739538857,0.7835016537703717,51,66.0,0,0.7420981285103057,16,18.0,0,0.355245321275764,3,3.0,0,-0.0,4,4.0,0,22.46,504.45160000000004
Chicago,17031540102,-87.607377,41.657034,14850,0.9496255956432947,0.018720217835262083,0.02859087814840027,0.8793933975848589,124,164.0,0,0.7893508415812072,112,160.0,0,0.5335785284723731,16,17.0,0,0.523036640330667,11,13.0,0,14.85,220.52249999999998
Chicago,17031151002,-87.748107,41.942525,42339,0.034219703574542286,0.6564952048823016,0.056015693112467305,0.879411301966577,64,84.0,0,0.9720994279250684,176,247.0,0,0.6243825441970409,11,12.0,0,0.8531691577491947,24,26.0,0,42.339,1792.590921
Chicago,17031440900,-87.608574,41.729283,38550,0.9553208773354996,0.019902518277822908,0.022745735174654752,0.7353736450064116,50,59.0,0,0.8870408929762938,86,120.0,0,0.6760095837481074,21,22.0,0,0.609920344944131,13,13.0,0,38.55,1486.1024999999997
